motif,chromatin_motif,node1,node2,node3,node4
3221,001000201000,chr1:114888379-114890297,chr1:114920523-114921871,chr1:115594451-115596169,chr1:115521068-115522939
3221,100000201000,chr1:114888379-114890297,chr1:115594451-115596169,chr1:115521068-115522939,chr1:115299917-115301693
3221,100000201000,chr1:114888379-114890297,chr1:115594451-115596169,chr1:115521068-115522939,chr1:114970186-114971798
3221,000110100010,chr1:114888379-114890297,chr1:115594451-115596169,chr1:116137850-116139456,chr1:115521068-115522939
3322,000010100020,chr1:114888379-114890297,chr1:115594451-115596169,chr1:115654682-115656351,chr1:115521068-115522939
2211,101000110000,chr1:115594451-115596169,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116087897-116089837
2211,101000110000,chr1:115594451-115596169,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116011705-116013570
2211,001100110000,chr1:115594451-115596169,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115680923-115682569
3221,000100200010,chr1:115594451-115596169,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115654682-115656351
3221,001000200010,chr1:115594451-115596169,chr1:115654682-115656351,chr1:115521068-115522939,chr1:116049221-116050771
3111,102000001000,chr1:114888379-114890297,chr1:114920523-114921871,chr1:115521068-115522939,chr1:115299917-115301693
3111,102000001000,chr1:114888379-114890297,chr1:114920523-114921871,chr1:115521068-115522939,chr1:114970186-114971798
2211,001110100000,chr1:114888379-114890297,chr1:114920523-114921871,chr1:116137850-116139456,chr1:115521068-115522939
2211,002010100000,chr1:114888379-114890297,chr1:114920523-114921871,chr1:115654682-115656351,chr1:115521068-115522939
3111,201000001000,chr1:114888379-114890297,chr1:115521068-115522939,chr1:114970186-114971798,chr1:115299917-115301693
2211,100110100000,chr1:114888379-114890297,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115299917-115301693
2211,101010100000,chr1:114888379-114890297,chr1:115654682-115656351,chr1:115521068-115522939,chr1:115299917-115301693
2211,100110100000,chr1:114888379-114890297,chr1:116137850-116139456,chr1:115521068-115522939,chr1:114970186-114971798
2211,101010100000,chr1:114888379-114890297,chr1:115654682-115656351,chr1:115521068-115522939,chr1:114970186-114971798
2211,200000110000,chr1:114888379-114890297,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116087897-116089837
2211,200000110000,chr1:114888379-114890297,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116011705-116013570
2211,100100110000,chr1:114888379-114890297,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115680923-115682569
3111,101100000010,chr1:114888379-114890297,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115654682-115656351
2211,101000200000,chr1:114888379-114890297,chr1:115654682-115656351,chr1:115521068-115522939,chr1:116049221-116050771
2211,002010010000,chr1:115817270-115818753,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116087897-116089837
3111,201000000001,chr1:116011705-116013570,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116087897-116089837
3111,101100000001,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115680923-115682569,chr1:116087897-116089837
2211,101000110000,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115654682-115656351,chr1:116087897-116089837
2211,002010010000,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116049221-116050771,chr1:116011705-116013570
2211,002010010000,chr1:115817270-115818753,chr1:116137850-116139456,chr1:115521068-115522939,chr1:116011705-116013570
3221,001010010001,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115680923-115682569,chr1:116011705-116013570
2211,101000110000,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115654682-115656351,chr1:116011705-116013570
2211,002000020000,chr1:116049221-116050771,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115680923-115682569
2211,002000020000,chr1:115817270-115818753,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115680923-115682569
2211,001100110000,chr1:115654682-115656351,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115680923-115682569
2211,001100200000,chr1:116049221-116050771,chr1:116137850-116139456,chr1:115521068-115522939,chr1:115654682-115656351
2211,002000200000,chr1:115817270-115818753,chr1:115654682-115656351,chr1:115521068-115522939,chr1:116049221-116050771
2211,101000200000,chr1:115654682-115656351,chr1:115521068-115522939,chr1:116049221-116050771,chr1:116011705-116013570
2211,001100200000,chr1:115680923-115682569,chr1:115654682-115656351,chr1:115521068-115522939,chr1:116049221-116050771
3221,100010011000,chr12:53720696-53722173,chr12:53738380-53739950,chr12:53714451-53716329,chr12:53814589-53816298
3221,100020001000,chr12:53738380-53739950,chr12:53714451-53716329,chr12:53814589-53816298,chr12:53717922-53719426
2211,200020000000,chr12:53455013-53456355,chr12:53738380-53739950,chr12:53714451-53716329,chr12:53814589-53816298
2211,200010010000,chr12:53720696-53722173,chr12:53844801-53847430,chr12:53714451-53716329,chr12:53814589-53816298
3111,200100001000,chr12:53720696-53722173,chr12:53714451-53716329,chr12:53814589-53816298,chr12:53717922-53719426
2211,100120000000,chr12:53720696-53722173,chr12:53455013-53456355,chr12:53714451-53716329,chr12:53814589-53816298
2211,200020000000,chr12:53455013-53456355,chr12:53714451-53716329,chr12:53814589-53816298,chr12:53717922-53719426
2211,200020000000,chr12:53455013-53456355,chr12:53714451-53716329,chr12:53814589-53816298,chr12:53440221-53443143
2211,200020000000,chr12:53455013-53456355,chr12:53714451-53716329,chr12:53814589-53816298,chr12:53431978-53433531
2211,200020000000,chr12:53455013-53456355,chr12:53714451-53716329,chr12:53373832-53375777,chr12:53440221-53443143
2211,200020000000,chr12:53277891-53279703,chr12:53455013-53456355,chr12:53714451-53716329,chr12:53440221-53443143
3111,300000001000,chr12:53455013-53456355,chr12:53714451-53716329,chr12:53431978-53433531,chr12:53440221-53443143
3111,003000000010,chr11:8359048-8360516,chr11:8240274-8241741,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8349635-8351351,chr11:8240274-8241741,chr11:8268311-8269843,chr11:8587456-8589227
3111,003000000010,chr11:8120141-8121847,chr11:8240274-8241741,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8246522-8248090,chr11:8240274-8241741,chr11:8268311-8269843,chr11:8587456-8589227
3111,003000000010,chr11:8027166-8028910,chr11:8240274-8241741,chr11:8268311-8269843,chr11:8587456-8589227
2211,101000200000,chr11:8284636-8286486,chr11:8240274-8241741,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8349635-8351351,chr11:8359048-8360516,chr11:8268311-8269843,chr11:8587456-8589227
3111,003000000010,chr11:8359048-8360516,chr11:8120141-8121847,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8246522-8248090,chr11:8359048-8360516,chr11:8268311-8269843,chr11:8587456-8589227
3111,003000000010,chr11:8027166-8028910,chr11:8359048-8360516,chr11:8268311-8269843,chr11:8587456-8589227
2211,101000200000,chr11:8284636-8286486,chr11:8359048-8360516,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8349635-8351351,chr11:8120141-8121847,chr11:8268311-8269843,chr11:8587456-8589227
3111,201000000010,chr11:8349635-8351351,chr11:8246522-8248090,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8349635-8351351,chr11:8027166-8028910,chr11:8268311-8269843,chr11:8587456-8589227
2211,200000200000,chr11:8349635-8351351,chr11:8284636-8286486,chr11:8268311-8269843,chr11:8587456-8589227
2211,101000200000,chr11:8120141-8121847,chr11:8054126-8055653,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8246522-8248090,chr11:8120141-8121847,chr11:8268311-8269843,chr11:8587456-8589227
3221,001000200010,chr11:8027166-8028910,chr11:8120141-8121847,chr11:8268311-8269843,chr11:8587456-8589227
2222,000010300000,chr11:8284636-8286486,chr11:8120141-8121847,chr11:8268311-8269843,chr11:8587456-8589227
3111,102000000010,chr11:8246522-8248090,chr11:8027166-8028910,chr11:8268311-8269843,chr11:8587456-8589227
2222,000020200000,chr11:8246522-8248090,chr11:8284636-8286486,chr11:8268311-8269843,chr11:8587456-8589227
2211,101000200000,chr11:8027166-8028910,chr11:8054126-8055653,chr11:8268311-8269843,chr11:8587456-8589227
2211,001100200000,chr11:8027166-8028910,chr11:8980510-8982057,chr11:8268311-8269843,chr11:8587456-8589227
2211,001100200000,chr11:8027166-8028910,chr11:7913601-7915332,chr11:8268311-8269843,chr11:8587456-8589227
2211,101000200000,chr11:8113563-8115149,chr11:8027166-8028910,chr11:8268311-8269843,chr11:8587456-8589227
2211,101000200000,chr11:8284636-8286486,chr11:8027166-8028910,chr11:8268311-8269843,chr11:8587456-8589227
2211,101010100000,chr11:8120141-8121847,chr11:8054126-8055653,chr11:8268311-8269843,chr11:8284636-8286486
2211,002010100000,chr11:8027166-8028910,chr11:8120141-8121847,chr11:8268311-8269843,chr11:8284636-8286486
3111,102000001000,chr11:8246522-8248090,chr11:8120141-8121847,chr11:8268311-8269843,chr11:8284636-8286486
3221,001000200010,chr14:76516580-76518062,chr14:76852904-76854457,chr14:77113513-77114970,chr14:76980509-76981825
2211,001120000000,chr19:49976526-49978185,chr19:49894368-49896239,chr19:50009339-50010774,chr19:50049578-50051311
3111,200100001000,chr11:118559926-118561885,chr11:118800456-118801848,chr11:118885501-118886730,chr11:118660500-118662522
3111,300000001000,chr11:118789949-118791396,chr11:118559926-118561885,chr11:118800456-118801848,chr11:118660500-118662522
3111,200100001000,chr11:118789949-118791396,chr11:118559926-118561885,chr11:118800456-118801848,chr11:118885501-118886730
3111,200100000001,chr6:111002821-111004508,chr6:111199944-111201195,chr6:111347911-111349207,chr6:110848625-110850414
3221,100010010001,chr6:111002821-111004508,chr6:111320071-111321781,chr6:111347911-111349207,chr6:110848625-110850414
3221,100000020001,chr6:111002821-111004508,chr6:111270179-111271783,chr6:111347911-111349207,chr6:110848625-110850414
3111,300000000001,chr6:111199944-111201195,chr6:111320071-111321781,chr6:111347911-111349207,chr6:110848625-110850414
3111,200100000001,chr6:111199944-111201195,chr6:111270179-111271783,chr6:111347911-111349207,chr6:110848625-110850414
3111,200100000001,chr6:111320071-111321781,chr6:111270179-111271783,chr6:111347911-111349207,chr6:110848625-110850414
2211,001100020000,chr2:42554780-42556594,chr2:42465357-42466950,chr2:42889696-42891311,chr2:42322464-42324198
2211,002000200000,chr2:193606032-193607515,chr2:192676311-192677847,chr2:193150063-193151773,chr2:193054468-193056213
3111,201000001000,chr10:93148884-93150555,chr10:93394531-93396183,chr10:93129217-93130628,chr10:93057444-93059120
2211,101020000000,chr10:93148884-93150555,chr10:93394531-93396183,chr10:93453397-93454895,chr10:93057444-93059120
2211,100110100000,chr10:93394531-93396183,chr10:92639160-92640711,chr10:93129217-93130628,chr10:93057444-93059120
2211,002020000000,chr10:93394531-93396183,chr10:93129217-93130628,chr10:93453397-93454895,chr10:93057444-93059120
2211,002000200000,chr1:62872420-62873977,chr1:62547707-62549457,chr1:62759307-62760781,chr1:62596182-62597649
3111,003000000010,chr1:62872420-62873977,chr1:62600748-62602247,chr1:62547707-62549457,chr1:62759307-62760781
3221,001000200010,chr1:62872420-62873977,chr1:62609199-62610912,chr1:62547707-62549457,chr1:62759307-62760781
3221,001000200010,chr1:62872420-62873977,chr1:62640595-62642175,chr1:62547707-62549457,chr1:62759307-62760781
2211,002000200000,chr1:62872420-62873977,chr1:62600748-62602247,chr1:62759307-62760781,chr1:62415502-62416965
3111,003000000010,chr1:62872420-62873977,chr1:62609199-62610912,chr1:62600748-62602247,chr1:62759307-62760781
3221,001000200010,chr1:62872420-62873977,chr1:62640595-62642175,chr1:62600748-62602247,chr1:62759307-62760781
3221,001000200010,chr1:62872420-62873977,chr1:62609199-62610912,chr1:62640595-62642175,chr1:62759307-62760781
3221,100000200010,chr1:62872420-62873977,chr1:62640595-62642175,chr1:62759307-62760781,chr1:63211544-63213309
2211,002010100000,chr1:63211544-63213309,chr1:62640595-62642175,chr1:62759307-62760781,chr1:62973295-62974922
2211,001110100000,chr1:63211544-63213309,chr1:62856554-62858170,chr1:62640595-62642175,chr1:62759307-62760781
2211,100100020000,chr12:56586179-56587640,chr12:56695563-56697078,chr12:56626787-56628327,chr12:56966683-56968145
2222,000010030000,chr12:56586179-56587640,chr12:56695563-56697078,chr12:56650889-56653194,chr12:56626787-56628327
2211,100110010000,chr12:56695563-56697078,chr12:56650889-56653194,chr12:56626787-56628327,chr12:56664376-56665814
2211,100120000000,chr12:56598746-56601213,chr12:56650889-56653194,chr12:56626787-56628327,chr12:56664376-56665814
3111,100200001000,chr12:56586179-56587640,chr12:56650889-56653194,chr12:56626787-56628327,chr12:56664376-56665814
2211,100110010000,chr12:56586179-56587640,chr12:56650889-56653194,chr12:56626787-56628327,chr12:56966683-56968145
2211,101000200000,chr14:61927797-61929405,chr14:62592750-62594587,chr14:62360632-62362092,chr14:61762907-61764604
2211,101000200000,chr14:61927797-61929405,chr14:62592750-62594587,chr14:61922811-61924275,chr14:61762907-61764604
2211,200000200000,chr14:61927797-61929405,chr14:62592750-62594587,chr14:61762907-61764604,chr14:61735571-61737248
2211,101010100000,chr14:61927797-61929405,chr14:62592750-62594587,chr14:61762907-61764604,chr14:61941294-61944408
3221,001010010010,chr14:61927797-61929405,chr14:62592750-62594587,chr14:61762907-61764604,chr14:62303752-62305320
3221,100000111000,chr14:61927797-61929405,chr14:61762907-61764604,chr14:62303752-62305320,chr14:61941294-61944408
3221,001010100001,chr14:61927797-61929405,chr14:61922811-61924275,chr14:61762907-61764604,chr14:62303752-62305320
3221,100010100001,chr14:61927797-61929405,chr14:61762907-61764604,chr14:61735571-61737248,chr14:62303752-62305320
2211,101010010000,chr14:61927797-61929405,chr14:61922811-61924275,chr14:62303752-62305320,chr14:61941294-61944408
2211,200010010000,chr14:61927797-61929405,chr14:61735571-61737248,chr14:62303752-62305320,chr14:61941294-61944408
2211,101000110000,chr14:61927797-61929405,chr14:61922811-61924275,chr14:62592750-62594587,chr14:62303752-62305320
3221,100010100001,chr14:61927797-61929405,chr14:61922811-61924275,chr14:61735571-61737248,chr14:62303752-62305320
2211,101010010000,chr14:61927797-61929405,chr14:62592750-62594587,chr14:61735571-61737248,chr14:62303752-62305320
3111,210000001000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55978313-55980118,chr19:56577003-56578856
3111,300000001000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55928803-55930484,chr19:55978313-55980118
3111,201000001000,chr19:55965433-55966967,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55978313-55980118
2211,200020000000,chr19:55656942-55658449,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55978313-55980118
2211,101011000000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:56577003-56578856,chr19:56861258-56862748
2211,101011000000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:56577003-56578856,chr19:56844150-56845921
2211,100111000000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:56763692-56766231,chr19:56577003-56578856
2211,101011000000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:56859158-56860483,chr19:56577003-56578856
3111,210000001000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55928803-55930484,chr19:56577003-56578856
3111,111000001000,chr19:55965433-55966967,chr19:55669907-55672824,chr19:55651832-55653522,chr19:56577003-56578856
2211,110020000000,chr19:55656942-55658449,chr19:55669907-55672824,chr19:55651832-55653522,chr19:56577003-56578856
2211,101020000000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55928803-55930484,chr19:55802800-55804333
2211,100120000000,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55928803-55930484,chr19:55599177-55600911
3221,100010101000,chr19:55965433-55966967,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55928803-55930484
2222,000040000000,chr19:55656942-55658449,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55928803-55930484
2211,101020000000,chr19:55965433-55966967,chr19:55669907-55672824,chr19:55651832-55653522,chr19:55656942-55658449
2211,101020000000,chr19:55656942-55658449,chr19:55669907-55672824,chr19:55965433-55966967,chr19:55928803-55930484
2211,101020000000,chr19:55656942-55658449,chr19:55669907-55672824,chr19:55928803-55930484,chr19:55802800-55804333
2211,100120000000,chr19:55656942-55658449,chr19:55669907-55672824,chr19:55928803-55930484,chr19:55599177-55600911
2211,101000110000,chr12:1904623-1906209,chr12:2048300-2050152,chr12:1899695-1901197,chr12:2691692-2693049
3111,101100000010,chr12:1904623-1906209,chr12:2048300-2050152,chr12:1899695-1901197,chr12:2143599-2144919
3322,000010010020,chr12:1904623-1906209,chr12:2048300-2050152,chr12:1899695-1901197,chr12:1743202-1744708
3221,001010100010,chr12:1904623-1906209,chr12:2048300-2050152,chr12:2143599-2144919,chr12:1743202-1744708
2211,002000110000,chr12:2048300-2050152,chr12:1899695-1901197,chr12:2691692-2693049,chr12:2143599-2144919
3221,001000200001,chr12:2048300-2050152,chr12:1899695-1901197,chr12:2691692-2693049,chr12:1743202-1744708
3221,001000110010,chr12:1743202-1744708,chr12:2048300-2050152,chr12:1899695-1901197,chr12:2143599-2144919
2211,101000110000,chr6:37659204-37660696,chr6:37533595-37535043,chr6:38001319-38003083,chr6:38461105-38462827
3221,001010100001,chr6:37505349-37506988,chr6:37659204-37660696,chr6:37533595-37535043,chr6:38461105-38462827
3221,001010010001,chr6:37659204-37660696,chr6:37533595-37535043,chr6:38461105-38462827,chr6:37451396-37452961
3322,000000111001,chr6:37505349-37506988,chr6:37659204-37660696,chr6:37533595-37535043,chr6:37451396-37452961
2211,101000200000,chr13:101373658-101375087,chr13:101224707-101226232,chr13:101779569-101781126,chr13:101240420-101242137
2211,001100110000,chr6:116608145-116609800,chr6:116831973-116833402,chr6:116881858-116883497,chr6:116537562-116540321
2211,200010010000,chr17:20942980-20944404,chr17:21219288-21220767,chr17:21414442-21417223,chr17:21182697-21184399
2211,200010010000,chr17:20942980-20944404,chr17:21359762-21361291,chr17:21219288-21220767,chr17:21182697-21184399
3221,100010100001,chr17:20942980-20944404,chr17:21219288-21220767,chr17:21352537-21354009,chr17:21182697-21184399
3221,000120001000,chr17:21359762-21361291,chr17:21219288-21220767,chr17:21414442-21417223,chr17:21182697-21184399
3221,100000111000,chr17:21352537-21354009,chr17:21219288-21220767,chr17:21414442-21417223,chr17:21182697-21184399
3221,100000111000,chr17:21359762-21361291,chr17:21219288-21220767,chr17:21352537-21354009,chr17:21182697-21184399
3111,102000001000,chr7:154718701-154720554,chr7:154704781-154706350,chr7:154623776-154625163,chr7:155137016-155138628
2211,002020000000,chr7:154718701-154720554,chr7:154704781-154706350,chr7:155148837-155150418,chr7:155137016-155138628
2211,002020000000,chr7:154718701-154720554,chr7:154623776-154625163,chr7:155148837-155150418,chr7:155137016-155138628
3111,003000000010,chr10:13578294-13579615,chr10:13701367-13702852,chr10:13819423-13820948,chr10:13413058-13414873
3111,003000000010,chr10:13578294-13579615,chr10:13481974-13483463,chr10:13819423-13820948,chr10:13413058-13414873
3111,003000000010,chr10:13578294-13579615,chr10:13819423-13820948,chr10:13413058-13414873,chr10:13456584-13457801
3111,003000000010,chr10:13578294-13579615,chr10:13701367-13702852,chr10:13413058-13414873,chr10:13481974-13483463
3111,003000000010,chr10:13578294-13579615,chr10:13701367-13702852,chr10:13413058-13414873,chr10:13456584-13457801
3111,003000000010,chr10:13578294-13579615,chr10:13481974-13483463,chr10:13413058-13414873,chr10:13456584-13457801
2211,200000110000,chr7:25198832-25200500,chr7:25022110-25023378,chr7:25108854-25110551,chr7:25137446-25138990
3111,101100000001,chr7:25198832-25200500,chr7:25022110-25023378,chr7:25108854-25110551,chr7:24851424-24852927
3111,102000000001,chr7:25198832-25200500,chr7:25022110-25023378,chr7:25108854-25110551,chr7:24920748-24922155
3111,201000000001,chr7:25198832-25200500,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25108854-25110551
3221,001020000001,chr7:25198832-25200500,chr7:25022110-25023378,chr7:25108854-25110551,chr7:25132338-25134761
2211,200000020000,chr7:25022110-25023378,chr7:25108854-25110551,chr7:24851424-24852927,chr7:25137446-25138990
3111,101100000001,chr7:25022110-25023378,chr7:25108854-25110551,chr7:24851424-24852927,chr7:24920748-24922155
3111,200100000001,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25108854-25110551,chr7:24851424-24852927
3322,000010011001,chr7:25132338-25134761,chr7:25022110-25023378,chr7:25108854-25110551,chr7:24851424-24852927
3221,100010100001,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25108854-25110551,chr7:24920748-24922155
3221,001020000001,chr7:25022110-25023378,chr7:25108854-25110551,chr7:25132338-25134761,chr7:24920748-24922155
2211,200010010000,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25108854-25110551,chr7:25137446-25138990
3322,000020001001,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25108854-25110551,chr7:25132338-25134761
3221,100010011000,chr7:25022110-25023378,chr7:25108854-25110551,chr7:25132338-25134761,chr7:24760726-24763455
2211,200010010000,chr7:25022110-25023378,chr7:25132338-25134761,chr7:24851424-24852927,chr7:25137446-25138990
3111,200100001000,chr7:25022110-25023378,chr7:25132338-25134761,chr7:24851424-24852927,chr7:24760726-24763455
3111,200100001000,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25132338-25134761,chr7:24851424-24852927
3111,300000001000,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25132338-25134761,chr7:24760726-24763455
2211,200020000000,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25132338-25134761,chr7:25137446-25138990
2211,101020000000,chr7:24859052-24861327,chr7:25022110-25023378,chr7:25132338-25134761,chr7:24920748-24922155
3221,001010010001,chr10:124057648-124059417,chr10:124038568-124040082,chr10:124194083-124195768,chr10:124101584-124103069
3322,000000111001,chr10:124026857-124028513,chr10:124038568-124040082,chr10:124194083-124195768,chr10:124101584-124103069
3322,000010101001,chr10:124026857-124028513,chr10:124038568-124040082,chr10:124194083-124195768,chr10:124057648-124059417
3221,001010011000,chr10:124026857-124028513,chr10:124038568-124040082,chr10:124101584-124103069,chr10:124057648-124059417
3221,001000110010,chr11:100445589-100448179,chr11:100725645-100727251,chr11:100800260-100801892,chr11:99609506-99611224
3221,001000110010,chr11:100445589-100448179,chr11:100802603-100804165,chr11:100725645-100727251,chr11:100800260-100801892
3221,001000110010,chr11:100445589-100448179,chr11:100725645-100727251,chr11:100800260-100801892,chr11:101306597-101308211
3322,000000200011,chr11:100445589-100448179,chr11:100552433-100553935,chr11:100725645-100727251,chr11:100800260-100801892
3221,001000110010,chr11:100552433-100553935,chr11:100802603-100804165,chr11:100725645-100727251,chr11:100800260-100801892
2211,001100200000,chr11:100445589-100448179,chr11:98885739-98887602,chr11:100800260-100801892,chr11:99609506-99611224
3111,002100000010,chr11:100445589-100448179,chr11:100802603-100804165,chr11:100800260-100801892,chr11:99609506-99611224
3111,002100000010,chr11:100445589-100448179,chr11:100800260-100801892,chr11:101306597-101308211,chr11:99609506-99611224
2211,002000110000,chr11:100445589-100448179,chr11:100552433-100553935,chr11:100800260-100801892,chr11:99609506-99611224
3221,000100200010,chr11:100445589-100448179,chr11:100802603-100804165,chr11:100800260-100801892,chr11:101306597-101308211
2222,000000310000,chr11:100445589-100448179,chr11:100802603-100804165,chr11:100552433-100553935,chr11:100800260-100801892
2211,001100200000,chr11:100445589-100448179,chr11:100850407-100851784,chr11:100800260-100801892,chr11:101306597-101308211
2211,002000110000,chr11:100445589-100448179,chr11:100552433-100553935,chr11:100800260-100801892,chr11:101306597-101308211
2211,001100200000,chr11:100552433-100553935,chr11:100802603-100804165,chr11:100800260-100801892,chr11:101306597-101308211
3111,201000000010,chr1:94705895-94707218,chr1:95266939-95268479,chr1:94800630-94802432,chr1:94510494-94512156
3111,102000000010,chr1:95270763-95272339,chr1:94705895-94707218,chr1:94800630-94802432,chr1:94510494-94512156
3322,000010101010,chr1:94705895-94707218,chr1:94526429-94528114,chr1:94800630-94802432,chr1:94510494-94512156
2211,001110100000,chr1:94705895-94707218,chr1:94946181-94948153,chr1:94800630-94802432,chr1:95266939-95268479
2211,001110100000,chr1:94705895-94707218,chr1:94978894-94980887,chr1:94800630-94802432,chr1:95266939-95268479
2211,001110100000,chr1:94705895-94707218,chr1:94987384-94988752,chr1:94800630-94802432,chr1:95266939-95268479
3111,102000000010,chr1:95270763-95272339,chr1:94705895-94707218,chr1:94800630-94802432,chr1:95266939-95268479
3221,100010100010,chr1:94705895-94707218,chr1:94526429-94528114,chr1:94800630-94802432,chr1:95266939-95268479
2211,001100200000,chr1:94705895-94707218,chr1:94946181-94948153,chr1:94800630-94802432,chr1:95270763-95272339
2211,001100200000,chr1:94705895-94707218,chr1:94978894-94980887,chr1:94800630-94802432,chr1:95270763-95272339
2211,001100200000,chr1:94705895-94707218,chr1:94987384-94988752,chr1:94800630-94802432,chr1:95270763-95272339
3221,001010100010,chr1:94705895-94707218,chr1:94526429-94528114,chr1:94800630-94802432,chr1:95270763-95272339
2211,100110100000,chr1:94510494-94512156,chr1:94946181-94948153,chr1:94800630-94802432,chr1:95266939-95268479
2211,100110100000,chr1:94510494-94512156,chr1:94978894-94980887,chr1:94800630-94802432,chr1:95266939-95268479
2211,100110100000,chr1:94510494-94512156,chr1:94987384-94988752,chr1:94800630-94802432,chr1:95266939-95268479
3111,201000000010,chr1:95270763-95272339,chr1:94510494-94512156,chr1:94800630-94802432,chr1:95266939-95268479
3221,100020000010,chr1:94510494-94512156,chr1:94526429-94528114,chr1:94800630-94802432,chr1:95266939-95268479
2211,100100200000,chr1:94510494-94512156,chr1:94946181-94948153,chr1:94800630-94802432,chr1:95270763-95272339
2211,100100200000,chr1:94510494-94512156,chr1:94978894-94980887,chr1:94800630-94802432,chr1:95270763-95272339
