from_name,to_name,from_broad_state,to_broad_state
chr20:49608997-49610457,chr20:49988195-49989782,repressed,repressed
chr14:25274694-25276498,chr14:25619584-25621124,repressed,repressed
chr14:25274694-25276498,chr14:25500979-25502583,repressed,active
chr14:25274694-25276498,chr14:25601510-25603049,repressed,repressed
chr14:25179030-25180520,chr14:25601510-25603049,repressed,repressed
chr9:5185832-5187630,chr9:5589454-5590996,repressed,repressed
chr9:4762017-4763518,chr9:5424422-5425992,active,repressed
chr9:5185832-5187630,chr9:5424422-5425992,repressed,repressed
chr19:5047584-5049379,chr19:5480007-5481421,active,repressed
chr19:5047584-5049379,chr19:5153625-5155049,active,weak
chr6:97074162-97075572,chr6:97506660-97508548,repressed,repressed
chr6:97345140-97347860,chr6:97506660-97508548,active,repressed
chr19:47032168-47033938,chr19:47164550-47166404,weak,active
chr19:47116858-47118330,chr19:47164550-47166404,active,active
chr19:47119779-47121109,chr19:47164550-47166404,repressed,active
chr19:47207201-47208598,chr19:47231482-47232947,weak,weak
chr19:47032168-47033938,chr19:47045261-47046866,weak,repressed
chr6:43736626-43738353,chr6:44046301-44047806,active,active
chr6:43575459-43577510,chr6:44046301-44047806,weak,active
chr6:43736626-43738353,chr6:43764678-43766026,active,weak
chr6:43575459-43577510,chr6:43764678-43766026,weak,weak
chr6:43736626-43738353,chr6:44041598-44043243,active,active
chr16:69183459-69185130,chr16:69320277-69321770,active,weak
chr16:68561769-68563661,chr16:69320277-69321770,active,weak
chr22:43626713-43628094,chr22:43781163-43782652,repressed,repressed
chr22:43669382-43670867,chr22:43781163-43782652,repressed,repressed
chr22:43741753-43743337,chr22:43781163-43782652,repressed,repressed
chr22:43626713-43628094,chr22:43741753-43743337,repressed,repressed
chr22:43669382-43670867,chr22:43741753-43743337,repressed,repressed
chr9:15872978-15874585,chr9:16133245-16134683,repressed,repressed
chr9:15872978-15874585,chr9:16191568-16193185,repressed,weak
chr12:121020474-121023004,chr12:121446973-121448409,active,active
chr12:53277891-53279703,chr12:53373832-53375777,active,active
chr12:52549970-52551527,chr12:53373832-53375777,active,active
chr12:52536769-52538312,chr12:53373832-53375777,active,active
chr12:52765619-52767460,chr12:53373832-53375777,repressed,active
chr12:53263530-53265909,chr12:53373832-53375777,active,active
chr12:53345461-53346831,chr12:53373832-53375777,weak,active
chr12:53320509-53322142,chr12:53373832-53375777,active,active
chr12:52645357-52646793,chr12:52720455-52722322,weak,active
chr12:52549970-52551527,chr12:52720455-52722322,active,active
chr12:52545187-52546767,chr12:52720455-52722322,active,active
chr12:52536769-52538312,chr12:52720455-52722322,active,active
chr12:52557064-52558733,chr12:52720455-52722322,active,active
chr12:52708989-52710279,chr12:52720455-52722322,repressed,active
chr12:52606536-52608297,chr12:52720455-52722322,active,active
chr12:52699316-52701029,chr12:52720455-52722322,weak,active
chr4:88417855-88419290,chr4:88758907-88761410,repressed,repressed
chr4:88464404-88465931,chr4:88758907-88761410,repressed,repressed
chr4:88599973-88601665,chr4:88758907-88761410,repressed,repressed
chr4:88274032-88275759,chr4:88758907-88761410,weak,repressed
chr4:88464404-88465931,chr4:88769225-88771063,repressed,active
chr4:88599973-88601665,chr4:88769225-88771063,repressed,active
chr20:35184297-35185864,chr20:35547371-35549040,active,weak
chr20:34743934-34745722,chr20:35547371-35549040,active,weak
chr20:35420305-35421748,chr20:35547371-35549040,weak,weak
chr20:35067181-35068743,chr20:35547371-35549040,active,weak
chr20:35184297-35185864,chr20:35219909-35221702,active,active
chr20:34790235-34791643,chr20:35219909-35221702,weak,active
chr20:35184297-35185864,chr20:35233136-35234793,active,active
chr8:72739542-72742287,chr8:72918858-72920406,weak,repressed
chr8:72731512-72733071,chr8:72918858-72920406,repressed,repressed
chr8:72739542-72742287,chr8:73066844-73068318,weak,active
chr8:72930251-72931801,chr8:73066844-73068318,weak,active
chr8:72731512-72733071,chr8:73066844-73068318,repressed,active
chr11:7533762-7535315,chr11:7677848-7679497,poised,repressed
chr11:7118879-7120467,chr11:7677848-7679497,repressed,repressed
chr11:7373639-7375221,chr11:7677848-7679497,repressed,repressed
chr11:7463303-7464771,chr11:7677848-7679497,repressed,repressed
chr1:173388839-173390511,chr1:174043140-174045141,active,weak
chr19:44269820-44271496,chr19:44288824-44290367,active,active
chr19:44248739-44250382,chr19:44288824-44290367,weak,active
chr19:43936420-43938093,chr19:44288824-44290367,weak,active
chr19:44227185-44228746,chr19:44288824-44290367,weak,active
chr15:52547960-52549512,chr15:53027061-53028597,active,active
chr15:51941432-51943307,chr15:52519045-52520650,active,active
chr1:23256242-23257724,chr1:23290184-23291769,repressed,repressed
chr1:112932904-112934626,chr1:113007995-113009920,active,active
chr1:112911547-112913346,chr1:113007995-113009920,repressed,active
chr1:112840663-112842286,chr1:112911547-112913346,repressed,repressed
chr13:28403559-28405012,chr13:28557862-28559317,active,repressed
chr13:27935541-27937021,chr13:28557862-28559317,active,repressed
chr18:51918302-51919873,chr18:52337931-52339489,repressed,repressed
chr18:52313762-52315329,chr18:52337931-52339489,repressed,repressed
chr20:42843165-42844588,chr20:43014615-43016043,repressed,weak
chr20:42845435-42846959,chr20:43014615-43016043,repressed,weak
chr20:42744637-42746268,chr20:43014615-43016043,repressed,weak
chr20:42843165-42844588,chr20:43099545-43100959,repressed,repressed
chr20:42845435-42846959,chr20:43099545-43100959,repressed,repressed
chr20:42744637-42746268,chr20:43099545-43100959,repressed,repressed
chr20:43012491-43014064,chr20:43099545-43100959,weak,repressed
chr20:43016605-43018145,chr20:43099545-43100959,active,repressed
chr20:43014615-43016043,chr20:43099545-43100959,weak,repressed
chr20:42843165-42844588,chr20:43012491-43014064,repressed,weak
chr20:42845435-42846959,chr20:43012491-43014064,repressed,weak
chr7:80057195-80058891,chr7:80288172-80289922,repressed,weak
chr7:80082385-80084199,chr7:80288172-80289922,repressed,weak
chr7:80057195-80058891,chr7:80082385-80084199,repressed,repressed
chr7:80057195-80058891,chr7:80327680-80329730,repressed,weak
chr8:120275589-120277154,chr8:120428043-120429972,repressed,active
chr8:120098144-120099702,chr8:120428043-120429972,weak,active
chr8:120365633-120367305,chr8:120428043-120429972,repressed,active
chr8:119960374-119961744,chr8:120082032-120083901,repressed,weak
chr8:120275589-120277154,chr8:120365633-120367305,repressed,repressed
chr8:120098144-120099702,chr8:120365633-120367305,weak,repressed
chr8:120082032-120083901,chr8:120365633-120367305,weak,repressed
chr9:130285129-130286585,chr9:130348210-130349632,repressed,active
chr9:130287558-130288936,chr9:130348210-130349632,repressed,active
chr9:129702195-129703987,chr9:130348210-130349632,repressed,active
chr9:130265610-130267217,chr9:130348210-130349632,weak,active
chr9:130216950-130218663,chr9:130348210-130349632,weak,active
chr9:130782289-130784016,chr9:130796749-130798508,weak,weak
chr9:130631285-130633185,chr9:130796749-130798508,active,weak
chr5:125674334-125676002,chr5:125874047-125875741,repressed,active
chr5:125688970-125690956,chr5:125874047-125875741,active,active
chr5:125674334-125676002,chr5:125935807-125937844,repressed,active
chr5:125874047-125875741,chr5:125935807-125937844,active,active
chr5:125674334-125676002,chr5:125930313-125931881,repressed,active
chr5:125879336-125880825,chr5:125930313-125931881,weak,active
chr5:125688970-125690956,chr5:125930313-125931881,active,active
chr5:125874047-125875741,chr5:125930313-125931881,active,active
chr1:229850192-229851619,chr1:230445765-230447265,repressed,weak
chr1:229649879-229651379,chr1:230445765-230447265,weak,weak
chr22:42218189-42219739,chr22:42252914-42254587,weak,active
chr22:42362015-42363547,chr22:42510245-42511580,repressed,repressed
chr22:42218189-42219739,chr22:42346477-42347731,weak,repressed
chr2:113356997-113358766,chr2:113483685-113485212,active,active
chr2:113356997-113358766,chr2:113481931-113483175,active,weak
chr2:113506623-113508136,chr2:113641888-113643416,weak,weak
chr2:113356997-113358766,chr2:113383608-113385453,active,active
chr2:113356997-113358766,chr2:113506623-113508136,active,weak
chr12:6726263-6727803,chr12:6934241-6935674,weak,repressed
chr12:6844235-6845946,chr12:6934241-6935674,active,repressed
chr12:6887437-6889147,chr12:6934241-6935674,weak,repressed
chr7:16471186-16472832,chr7:16603782-16605394,repressed,repressed
chr7:16117118-16118616,chr7:16603782-16605394,repressed,repressed
chr12:6726263-6727803,chr12:6793011-6794776,weak,weak
chr12:6776172-6777529,chr12:6793011-6794776,active,weak
chr12:6726263-6727803,chr12:6776172-6777529,weak,active
chr2:121842006-121843347,chr2:122113060-122114573,repressed,weak
chr9:139922223-139924815,chr9:139958004-139959390,active,weak
chr9:139943684-139945108,chr9:139958004-139959390,poised,weak
chr6:56501819-56503514,chr6:56621805-56623456,repressed,repressed
chr6:56223265-56225109,chr6:56621805-56623456,weak,repressed
chr6:56573112-56574771,chr6:56621805-56623456,active,repressed
chr6:56501819-56503514,chr6:56767161-56770243,repressed,active
chr11:44642148-44643573,chr11:44915179-44916584,poised,repressed
chr11:44748819-44750326,chr11:44915179-44916584,poised,repressed
chr11:44642148-44643573,chr11:44796392-44797886,poised,repressed
chr11:44748819-44750326,chr11:44796392-44797886,poised,repressed
chr11:44642148-44643573,chr11:44932222-44933805,poised,repressed
chr11:44748819-44750326,chr11:44932222-44933805,poised,repressed
chr11:44915179-44916584,chr11:44932222-44933805,repressed,repressed
chr11:44642148-44643573,chr11:44748819-44750326,poised,poised
chr12:2848458-2849949,chr12:3150131-3151655,repressed,weak
chr4:78161091-78162593,chr4:78353372-78355480,repressed,repressed
chr4:78305899-78307517,chr4:78353372-78355480,repressed,repressed
chr4:78161091-78162593,chr4:78229511-78230903,repressed,repressed
chr4:78161091-78162593,chr4:78278916-78280347,repressed,repressed
chr4:77425227-77426972,chr4:78278916-78280347,repressed,repressed
chr17:77083122-77084624,chr17:77121714-77123134,weak,poised
chr9:123517531-123519190,chr9:124161718-124163598,weak,weak
chr9:123974807-123976496,chr9:124161718-124163598,active,weak
chr9:123747319-123749063,chr9:124161718-124163598,active,weak
chr9:123517531-123519190,chr9:123698251-123699765,weak,active
chr9:123381300-123383179,chr9:123698251-123699765,weak,active
chr9:123517531-123519190,chr9:123821751-123823268,weak,repressed
chr9:123743377-123744820,chr9:123821751-123823268,repressed,repressed
chr9:123372811-123375402,chr9:123821751-123823268,weak,repressed
chr9:123747319-123749063,chr9:123821751-123823268,active,repressed
chr9:123517531-123519190,chr9:123747319-123749063,weak,active
chr20:5185436-5186952,chr20:5428626-5430143,repressed,repressed
chr20:5185436-5186952,chr20:5203095-5204480,repressed,repressed
chr20:4740496-4742179,chr20:5203095-5204480,active,repressed
chr20:5185436-5186952,chr20:5382950-5384410,repressed,repressed
chr14:68714525-68716087,chr14:69290966-69292521,weak,active
chr14:68714525-68716087,chr14:69282670-69284351,weak,active
chr14:68400053-68401819,chr14:69282670-69284351,weak,active
chr17:1477021-1478691,chr17:1520569-1521786,weak,active
chr17:1178781-1180334,chr17:1235245-1236751,repressed,repressed
chr17:1161889-1163439,chr17:1235245-1236751,active,repressed
chr17:1178781-1180334,chr17:1768013-1769662,repressed,weak
chr17:1178781-1180334,chr17:1477021-1478691,repressed,weak
chr20:17484932-17486330,chr20:17597504-17599041,repressed,weak
chr20:17517020-17518634,chr20:17597504-17599041,weak,weak
chr12:57976500-57978085,chr12:58026308-58027921,repressed,active
chr12:57976500-57978085,chr12:58015016-58016550,repressed,poised
chr9:95263761-95265162,chr9:95468317-95469586,repressed,weak
chr12:113876777-113878234,chr12:114349847-114351508,repressed,weak
chr12:113898967-113901063,chr12:114349847-114351508,active,weak
chr12:113876777-113878234,chr12:113898967-113901063,repressed,active
chr12:113747905-113749302,chr12:113898967-113901063,active,active
chr15:73532605-73534256,chr15:73565042-73566737,active,active
chr15:73532605-73534256,chr15:73991875-73993594,active,active
chr15:73968893-73970387,chr15:73991875-73993594,active,active
chr15:73975372-73976879,chr15:73991875-73993594,active,active
chr15:73852143-73853934,chr15:73991875-73993594,active,active
chr15:73928232-73929941,chr15:73991875-73993594,active,active
chr10:96389183-96390734,chr10:97002224-97003746,repressed,weak
chr10:96960941-96962405,chr10:97002224-97003746,repressed,weak
chr10:96942550-96944485,chr10:97002224-97003746,active,weak
chr10:96892126-96893696,chr10:97002224-97003746,repressed,weak
chr10:96389183-96390734,chr10:97122291-97124089,repressed,repressed
chr10:96960941-96962405,chr10:97122291-97124089,repressed,repressed
chr10:97005742-97007176,chr10:97122291-97124089,weak,repressed
chr10:96942550-96944485,chr10:97122291-97124089,active,repressed
chr10:96892126-96893696,chr10:97122291-97124089,repressed,repressed
chr10:97002224-97003746,chr10:97122291-97124089,weak,repressed
chr10:96389183-96390734,chr10:97005742-97007176,repressed,weak
chr10:96960941-96962405,chr10:97005742-97007176,repressed,weak
chr9:137035324-137036885,chr9:137334583-137336218,repressed,active
chr9:136963578-136965256,chr9:137334583-137336218,poised,active
chr9:137109098-137110572,chr9:137334583-137336218,repressed,active
chr5:114433134-114434797,chr5:114581563-114583209,repressed,weak
chr6:44063846-44065349,chr6:44224409-44226163,weak,active
chr6:44063846-44065349,chr6:44188637-44190364,weak,active
chr6:44063846-44065349,chr6:44139849-44141527,weak,weak
chr3:151185388-151187028,chr3:151556196-151557808,repressed,repressed
chr3:151007802-151009640,chr3:151556196-151557808,repressed,repressed
chr3:151156797-151158430,chr3:151556196-151557808,repressed,repressed
chr3:151185388-151187028,chr3:151635288-151637106,repressed,weak
chr3:151007802-151009640,chr3:151635288-151637106,repressed,weak
chr3:151156797-151158430,chr3:151635288-151637106,repressed,weak
chr3:150944797-150946658,chr3:151635288-151637106,active,weak
chr3:151556196-151557808,chr3:151635288-151637106,repressed,weak
chr7:157847238-157848636,chr7:158200097-158201656,repressed,repressed
chr9:4314994-4316655,chr9:4374497-4376362,repressed,repressed
chr9:4314994-4316655,chr9:4338530-4340202,repressed,weak
chr18:33597048-33598633,chr18:34151567-34153123,weak,repressed
chr18:33597048-33598633,chr18:33864052-33865596,weak,weak
chr18:33675236-33676842,chr18:33864052-33865596,repressed,weak
chr18:33335762-33337575,chr18:33864052-33865596,repressed,weak
chr18:33597048-33598633,chr18:33675236-33676842,weak,repressed
chr17:38357416-38359000,chr17:38446266-38447945,repressed,weak
chr17:38169126-38171225,chr17:38446266-38447945,weak,weak
chr17:38518332-38519672,chr17:38599492-38600710,poised,weak
chr6:138724140-138726057,chr6:138749523-138751168,active,repressed
chr22:23520103-23521601,chr22:23631592-23633599,repressed,active
chr22:23300740-23302453,chr22:23631592-23633599,repressed,active
chr22:23520103-23521601,chr22:23718043-23719461,repressed,repressed
chr22:23520103-23521601,chr22:23623427-23625038,repressed,active
chr22:23300740-23302453,chr22:23623427-23625038,repressed,active
chr19:16889050-16890626,chr19:17162686-17164177,repressed,active
chr19:16881785-16883316,chr19:17162686-17164177,active,active
chr19:16824979-16826486,chr19:17162686-17164177,repressed,active
chr19:16889050-16890626,chr19:16911953-16913327,repressed,active
chr19:16889050-16890626,chr19:17079416-17080912,repressed,repressed
chr19:16881785-16883316,chr19:17079416-17080912,active,repressed
chr19:16889050-16890626,chr19:17177631-17179361,repressed,active
chr1:201978085-201980285,chr1:202059584-202061078,active,weak
chr1:201978085-201980285,chr1:202103576-202105328,active,active
chr1:202091250-202092540,chr1:202103576-202105328,weak,active
chr1:201978085-201980285,chr1:202091250-202092540,active,weak
chr4:90147543-90149172,chr4:90354993-90356625,active,repressed
chr4:90079387-90081025,chr4:90354993-90356625,repressed,repressed
chr4:90175426-90176881,chr4:90354993-90356625,repressed,repressed
chr10:11557062-11558615,chr10:11799189-11800815,repressed,repressed
chr19:17177631-17179361,chr19:17456370-17457922,active,weak
chr1:94094505-94096007,chr1:94278720-94280472,weak,active
chr1:93769451-93771323,chr1:94338992-94340588,repressed,active
chr1:93902964-93904729,chr1:94338992-94340588,repressed,active
chr1:201183035-201184487,chr1:201330087-201331777,repressed,repressed
chr1:201315140-201318159,chr1:201330087-201331777,weak,repressed
chr1:201353724-201355347,chr1:201376751-201378222,weak,repressed
chr1:201315140-201318159,chr1:201376751-201378222,weak,repressed
chr17:28133891-28135684,chr17:28257659-28259385,repressed,active
chr17:28105508-28107152,chr17:28257659-28259385,weak,active
chr17:28133891-28135684,chr17:28419760-28421608,repressed,weak
chr17:28353095-28354561,chr17:28419760-28421608,repressed,weak
chr17:28347782-28349756,chr17:28419760-28421608,repressed,weak
chr17:28257659-28259385,chr17:28419760-28421608,active,weak
chr17:28133891-28135684,chr17:28347782-28349756,repressed,repressed
chr17:27945771-27948030,chr17:28347782-28349756,active,repressed
chr17:27906719-27908315,chr17:28347782-28349756,active,repressed
chr17:28257659-28259385,chr17:28347782-28349756,active,repressed
chr17:28133891-28135684,chr17:28353095-28354561,repressed,repressed
chr17:27906719-27908315,chr17:28353095-28354561,active,repressed
chr1:181447726-181449276,chr1:181644887-181646380,repressed,repressed
chr1:181447726-181449276,chr1:182049637-182050976,repressed,repressed
chr17:45439090-45440411,chr17:45692573-45694150,repressed,active
chr17:45577529-45578923,chr17:45692573-45694150,repressed,active
chr17:45392007-45394004,chr17:45692573-45694150,weak,active
chr17:19416477-19418448,chr17:19665365-19666693,repressed,repressed
chr5:21469390-21470715,chr5:21802463-21804107,weak,repressed
chr5:21458801-21460211,chr5:21802463-21804107,active,repressed
chr2:153045856-153047475,chr2:153596520-153598467,repressed,weak
chr2:152892850-152894284,chr2:153596520-153598467,repressed,weak
chr2:153045856-153047475,chr2:153491653-153493125,repressed,weak
chr21:33774821-33776530,chr21:33941177-33943112,weak,active
chr9:140106613-140108951,chr9:140156235-140157577,active,weak
chr9:140120703-140122889,chr9:140156235-140157577,active,weak
chr9:140012660-140013965,chr9:140120703-140122889,weak,active
chr9:139922223-139924815,chr9:140120703-140122889,active,active
chr9:140082394-140084470,chr9:140120703-140122889,active,active
chr9:140106613-140108951,chr9:140120703-140122889,active,active
chr8:143626244-143627793,chr8:143704889-143706327,repressed,repressed
chr8:143689965-143691407,chr8:143704889-143706327,repressed,repressed
chr8:143750050-143752051,chr8:143791281-143792741,active,repressed
chr8:143704889-143706327,chr8:143791281-143792741,repressed,repressed
chr8:143750050-143752051,chr8:143819603-143821706,active,active
chr8:143689965-143691407,chr8:143819603-143821706,repressed,active
chr8:143807420-143809329,chr8:143819603-143821706,active,active
chr1:20088118-20089740,chr1:20137263-20138545,weak,repressed
chr1:19670208-19671743,chr1:19908205-19909795,weak,repressed
chr2:71097941-71099739,chr2:71146351-71147924,active,repressed
chr2:71088223-71090081,chr2:71146351-71147924,repressed,repressed
chr2:71097941-71099739,chr2:71191487-71193050,active,active
chr2:9345526-9347139,chr2:9510874-9512430,active,weak
chr2:9282264-9283851,chr2:9510874-9512430,active,weak
chr2:9293092-9294580,chr2:9510874-9512430,active,weak
chr21:46974159-46975649,chr21:47016058-47017553,active,repressed
chr21:46312090-46313609,chr21:46369110-46370621,weak,weak
chr8:37708372-37709854,chr8:37853096-37854649,weak,active
chr8:37636656-37638424,chr8:37853096-37854649,weak,active
chr9:71668574-71670104,chr9:71807520-71809495,weak,active
chr5:176816791-176818439,chr5:176830245-176832267,weak,active
chr2:25829199-25830855,chr2:25922482-25923970,repressed,active
chr2:25829199-25830855,chr2:25886925-25888509,repressed,weak
chr8:52926317-52928022,chr8:53319468-53321206,repressed,repressed
chr8:53024259-53026016,chr8:53319468-53321206,repressed,repressed
chr8:53190777-53192167,chr8:53319468-53321206,repressed,repressed
chr8:52762447-52764249,chr8:52920399-52922054,weak,active
chr1:156766497-156768091,chr1:156829250-156830792,active,poised
chr1:156694887-156697233,chr1:156829250-156830792,weak,poised
chr1:156766497-156768091,chr1:156859263-156860916,active,repressed
chr1:156588571-156590011,chr1:156859263-156860916,repressed,repressed
chr1:156829250-156830792,chr1:156859263-156860916,poised,repressed
chr1:156694887-156697233,chr1:156859263-156860916,weak,repressed
chr1:156766497-156768091,chr1:156861514-156862942,active,active
chr3:113212291-113214954,chr3:113344895-113346770,weak,active
chr3:112753700-112755210,chr3:113344895-113346770,repressed,active
chr3:112452989-112454498,chr3:113344895-113346770,repressed,active
chr3:112769361-112771058,chr3:113344895-113346770,active,active
chr3:113296069-113297583,chr3:113344895-113346770,repressed,active
chr3:113212291-113214954,chr3:113296069-113297583,weak,repressed
chr11:60100926-60102595,chr11:60112437-60113848,repressed,repressed
chr11:60032430-60034190,chr11:60112437-60113848,repressed,repressed
chr7:99510054-99511633,chr7:99587959-99589378,weak,repressed
chr7:99510054-99511633,chr7:99591263-99592888,weak,repressed
chr16:71445745-71447616,chr16:71533127-71534627,repressed,repressed
chr16:71455396-71456806,chr16:71533127-71534627,repressed,repressed
chr16:71445745-71447616,chr16:71644286-71646182,repressed,repressed
chr16:71445745-71447616,chr16:71527507-71528835,repressed,repressed
chr6:36996421-36998064,chr6:37138962-37141015,repressed,weak
chr6:37095789-37097100,chr6:37138962-37141015,active,weak
chr6:37018585-37020288,chr6:37138962-37141015,active,weak
chr6:37026390-37028125,chr6:37138962-37141015,active,weak
