motif,chromatin_motif,node1,node2,node3
211,11000010,chr8:40058659-40060305,chr8:39748949-39750611,chr8:39890875-39892841
211,10101000,chr8:40794429-40795783,chr8:40110028-40111623,chr8:39890875-39892841
211,20000010,chr8:39852645-39854020,chr8:40110028-40111623,chr8:39890875-39892841
211,20000010,chr8:40110028-40111623,chr8:39748949-39750611,chr8:39890875-39892841
211,10101000,chr8:39852645-39854020,chr8:40794429-40795783,chr8:39890875-39892841
211,20000010,chr8:39852645-39854020,chr8:39748949-39750611,chr8:39890875-39892841
211,10100100,chr1:201011472-201013012,chr1:200590345-200592347,chr1:200806524-200808077
222,00002010,chr10:74096317-74097862,chr10:73655594-73657313,chr10:73820700-73822103
211,11000010,chr10:74096317-74097862,chr10:74003126-74004861,chr10:73820700-73822103
211,10100010,chr10:74096317-74097862,chr10:73885315-73887032,chr10:73820700-73822103
211,00111000,chr10:74096317-74097862,chr10:73073519-73074981,chr10:73655594-73657313
211,10101000,chr10:74096317-74097862,chr10:73467417-73469442,chr10:73655594-73657313
211,00201000,chr10:74096317-74097862,chr10:73455826-73457378,chr10:73655594-73657313
211,00201000,chr10:74096317-74097862,chr10:74099634-74101032,chr10:73655594-73657313
211,01101000,chr10:74096317-74097862,chr10:73532574-73534246,chr10:73655594-73657313
211,01101000,chr10:74096317-74097862,chr10:74087260-74089115,chr10:73655594-73657313
211,11000010,chr10:74096317-74097862,chr10:74003126-74004861,chr10:73655594-73657313
211,10100010,chr10:74096317-74097862,chr10:73885315-73887032,chr10:73655594-73657313
222,00000120,chr10:74096317-74097862,chr10:74003126-74004861,chr10:73885315-73887032
211,01100010,chr10:74096317-74097862,chr10:74087260-74089115,chr10:73885315-73887032
211,20001000,chr4:122657275-122658874,chr4:122383314-122384733,chr4:122291381-122292861
211,01100010,chr1:20041478-20043161,chr1:20207949-20209533,chr1:20088118-20089740
211,11000010,chr1:20207949-20209533,chr1:20088118-20089740,chr1:20137263-20138545
211,11000100,chr19:41631984-41634200,chr19:41813773-41815383,chr19:41479902-41481317
211,11000100,chr19:41631984-41634200,chr19:41649713-41651226,chr19:41813773-41815383
222,00000300,chr19:41631984-41634200,chr19:41767448-41769069,chr19:41813773-41815383
211,02000100,chr19:41631984-41634200,chr19:41813773-41815383,chr19:41709604-41711040
211,11001000,chr19:41649713-41651226,chr19:41813773-41815383,chr19:41479902-41481317
211,02001000,chr19:41649713-41651226,chr19:41813773-41815383,chr19:41168045-41169842
211,11000100,chr19:41649713-41651226,chr19:41767448-41769069,chr19:41813773-41815383
211,11000100,chr19:41649713-41651226,chr19:41813773-41815383,chr19:41709604-41711040
222,00000300,chr19:41767448-41769069,chr19:41813773-41815383,chr19:41709604-41711040
211,11000100,chr7:148272102-148273592,chr7:148637440-148639949,chr7:148659162-148660858
211,20000100,chr7:148200334-148202096,chr7:148272102-148273592,chr7:148659162-148660858
211,02001000,chr7:148663264-148664811,chr7:148272102-148273592,chr7:148659162-148660858
211,20000100,chr7:148200334-148202096,chr7:148272102-148273592,chr7:148663264-148664811
211,20000100,chr11:121064841-121066350,chr11:120381174-120383037,chr11:120555107-120556710
222,00002100,chr11:120822919-120824433,chr11:120381174-120383037,chr11:120555107-120556710
211,20000100,chr11:120105199-120106682,chr11:120381174-120383037,chr11:120555107-120556710
211,20000100,chr11:121064841-121066350,chr11:120381174-120383037,chr11:120822919-120824433
211,20000100,chr11:121064841-121066350,chr11:120105199-120106682,chr11:120381174-120383037
211,20000100,chr11:120105199-120106682,chr11:120381174-120383037,chr11:120822919-120824433
211,01101000,chr11:120105199-120106682,chr11:120381174-120383037,chr11:120170203-120171603
211,02000100,chr15:73928232-73929941,chr15:73831415-73833011,chr15:73991875-73993594
211,02000100,chr15:73928232-73929941,chr15:73831415-73833011,chr15:73852143-73853934
211,20000100,chr9:36995359-36996722,chr9:36872696-36874243,chr9:37261884-37263291
211,01100010,chr14:70193168-70194603,chr14:70001247-70003080,chr14:70050933-70052860
211,00200100,chr14:70193168-70194603,chr14:70050933-70052860,chr14:70040960-70042343
211,01100010,chr14:70193168-70194603,chr14:70040960-70042343,chr14:69714324-69715640
211,01100010,chr14:70193168-70194603,chr14:70001247-70003080,chr14:70040960-70042343
211,00201000,chr2:24632265-24633929,chr2:25418626-25420185,chr2:25197760-25199228
211,10101000,chr2:25351452-25353113,chr2:24632265-24633929,chr2:25418626-25420185
211,11000010,chr2:24632265-24633929,chr2:25418626-25420185,chr2:25014947-25016659
211,11000010,chr20:52194458-52196704,chr20:52678704-52680244,chr20:52559693-52561203
211,01100100,chr20:52194458-52196704,chr20:52531195-52533364,chr20:52559693-52561203
211,01100100,chr20:52194458-52196704,chr20:52444353-52446195,chr20:52559693-52561203
211,01100100,chr20:52194458-52196704,chr20:52555810-52557304,chr20:52559693-52561203
211,02000100,chr20:52194458-52196704,chr20:52531195-52533364,chr20:52444353-52446195
222,00000300,chr20:52555810-52557304,chr20:52194458-52196704,chr20:52531195-52533364
211,02000100,chr20:52194458-52196704,chr20:52555810-52557304,chr20:52444353-52446195
211,20001000,chr4:68853700-68855013,chr4:68783528-68785067,chr4:69040501-69042275
222,00003000,chr4:68853700-68855013,chr4:69040501-69042275,chr4:68737044-68738483
211,20001000,chr4:81973119-81974520,chr4:81281932-81284610,chr4:81910495-81912022
211,11000100,chr3:190039281-190041118,chr3:190230819-190232399,chr3:189942213-189944016
211,11000100,chr3:190039281-190041118,chr3:189734900-189736461,chr3:190230819-190232399
211,11000100,chr3:190039281-190041118,chr3:189919068-189920680,chr3:190230819-190232399
211,01100100,chr3:190039281-190041118,chr3:190101335-190103227,chr3:190230819-190232399
211,02000100,chr3:190039281-190041118,chr3:189678659-189680316,chr3:190230819-190232399
211,11000100,chr3:190039281-190041118,chr3:190141448-190143249,chr3:190230819-190232399
222,00003000,chr6:166688613-166690149,chr6:166569983-166571419,chr6:166813758-166815153
211,10100100,chr20:4740496-4742179,chr20:4936099-4937736,chr20:5172427-5173886
211,10100100,chr20:4740496-4742179,chr20:5203095-5204480,chr20:5172427-5173886
211,01100100,chr20:4740496-4742179,chr20:5080891-5082359,chr20:5172427-5173886
211,20000100,chr20:4740496-4742179,chr20:4936099-4937736,chr20:5203095-5204480
211,11000100,chr20:4740496-4742179,chr20:4936099-4937736,chr20:5080891-5082359
211,11001000,chr20:4740496-4742179,chr20:5203095-5204480,chr20:5185436-5186952
211,11000100,chr20:4740496-4742179,chr20:5203095-5204480,chr20:5080891-5082359
211,01100100,chr20:4740496-4742179,chr20:5080891-5082359,chr20:5036839-5038433
211,20001000,chr13:109160122-109161485,chr13:108994146-108995636,chr13:108974032-108975500
222,00002010,chr13:109160122-109161485,chr13:108994146-108995636,chr13:109546906-109550229
211,20000010,chr13:108994146-108995636,chr13:108974032-108975500,chr13:109546906-109550229
211,10100010,chr13:108879516-108881087,chr13:108994146-108995636,chr13:109546906-109550229
211,01100100,chr12:111037441-111039126,chr12:111039418-111040885,chr12:110886942-110888908
211,02000010,chr12:111037441-111039126,chr12:110989153-110990955,chr12:110886942-110888908
222,00000210,chr12:111263880-111265542,chr12:111037441-111039126,chr12:110886942-110888908
211,02000010,chr12:111037441-111039126,chr12:110949726-110951298,chr12:110886942-110888908
211,01100100,chr12:111037441-111039126,chr12:111039418-111040885,chr12:110989153-110990955
211,01100100,chr12:111037441-111039126,chr12:111325292-111326821,chr12:110989153-110990955
211,02000010,chr12:111263880-111265542,chr12:111037441-111039126,chr12:110989153-110990955
211,02000010,chr12:111037441-111039126,chr12:110949726-110951298,chr12:110989153-110990955
211,00200100,chr12:111263880-111265542,chr12:111037441-111039126,chr12:111142022-111143554
211,01100100,chr12:111263880-111265542,chr12:111037441-111039126,chr12:111325292-111326821
211,02000010,chr12:111263880-111265542,chr12:111037441-111039126,chr12:110949726-110951298
211,01100100,chr12:111037441-111039126,chr12:110949726-110951298,chr12:111039418-111040885
211,11001000,chr5:135280057-135281780,chr5:135312352-135314195,chr5:135222438-135224116
211,11001000,chr5:135280057-135281780,chr5:135393218-135395001,chr5:135222438-135224116
222,00002010,chr5:135280057-135281780,chr5:135417444-135419235,chr5:135222438-135224116
211,20001000,chr5:135280057-135281780,chr5:135222438-135224116,chr5:135547277-135548986
211,10101000,chr5:135417444-135419235,chr5:135222438-135224116,chr5:135547277-135548986
211,20001000,chr5:135215510-135216826,chr5:135222438-135224116,chr5:135547277-135548986
211,01100100,chr8:142093775-142095334,chr8:141840531-141842333,chr8:141953738-141955356
211,02000100,chr8:142093775-142095334,chr8:141840531-141842333,chr8:142084991-142086946
211,01100100,chr8:141840531-141842333,chr8:142084991-142086946,chr8:141953738-141955356
222,00002010,chr1:87430191-87432051,chr1:87298608-87300260,chr1:87245870-87247450
211,00200010,chr16:56984662-56986070,chr16:56902964-56904341,chr16:56822752-56824193
211,01100010,chr16:56610349-56611924,chr16:56902964-56904341,chr16:56822752-56824193
211,01100010,chr16:56735197-56737011,chr16:56902964-56904341,chr16:56822752-56824193
211,00200010,chr16:56826863-56828608,chr16:56902964-56904341,chr16:56822752-56824193
211,00200010,chr16:56826863-56828608,chr16:56902964-56904341,chr16:56984662-56986070
211,01100010,chr16:56826863-56828608,chr16:56610349-56611924,chr16:56902964-56904341
211,20001000,chr5:53529813-53531526,chr5:53784604-53786126,chr5:53738560-53740051
211,10101000,chr10:62949899-62951251,chr10:62900060-62901504,chr10:63043170-63044980
211,10100010,chr10:62900060-62901504,chr10:62575459-62577325,chr10:63043170-63044980
211,02000100,chr16:3201521-3203430,chr16:3215352-3216842,chr16:3223470-3225274
211,02000100,chr16:3201521-3203430,chr16:3215352-3216842,chr16:3108266-3110193
222,00000210,chr16:3201521-3203430,chr16:3215352-3216842,chr16:3181214-3182699
211,02000010,chr16:3215352-3216842,chr16:3223470-3225274,chr16:3181214-3182699
211,02000010,chr16:3215352-3216842,chr16:3108266-3110193,chr16:3181214-3182699
211,20001000,chr7:142490349-142492141,chr7:142376729-142378017,chr7:142245621-142247196
211,20001000,chr7:142490349-142492141,chr7:142376729-142378017,chr7:142508168-142509760
211,11001000,chr7:142490349-142492141,chr7:142376729-142378017,chr7:142115011-142116559
211,20001000,chr7:142490349-142492141,chr7:142376729-142378017,chr7:142339503-142341123
211,10100010,chr9:32967823-32969417,chr9:32703178-32704581,chr9:32588534-32589987
211,01101000,chr5:71433071-71434630,chr5:71564354-71566018,chr5:71603416-71605200
211,20001000,chr12:65284071-65285576,chr12:65493484-65494772,chr12:65500173-65501637
211,10101000,chr12:65284071-65285576,chr12:65189305-65191048,chr12:65500173-65501637
211,20001000,chr12:92204929-92206407,chr12:92963376-92965111,chr12:93042942-93044803
211,11000010,chr10:91185365-91187086,chr10:91019352-91021524,chr10:91052736-91053971
211,20000010,chr10:91185365-91187086,chr10:91052736-91053971,chr10:91323011-91324659
211,00200100,chr10:91185365-91187086,chr10:91019352-91021524,chr10:91128581-91130376
211,10100100,chr10:91185365-91187086,chr10:91019352-91021524,chr10:91148442-91149963
222,00001110,chr10:91185365-91187086,chr10:91019352-91021524,chr10:91323011-91324659
211,11000010,chr1:6853585-6856492,chr1:6779397-6780972,chr1:7277443-7279384
222,00000210,chr1:6853585-6856492,chr1:7598598-7600780,chr1:7277443-7279384
222,00000210,chr1:6853585-6856492,chr1:7706732-7708222,chr1:7277443-7279384
211,00200100,chr1:6853585-6856492,chr1:6949211-6950894,chr1:7277443-7279384
222,00001110,chr1:6853585-6856492,chr1:7102244-7103751,chr1:7277443-7279384
211,02000100,chr1:6853585-6856492,chr1:7598598-7600780,chr1:7513644-7515043
211,02000100,chr1:6853585-6856492,chr1:7598598-7600780,chr1:7706732-7708222
211,01100100,chr1:6853585-6856492,chr1:7598598-7600780,chr1:6949211-6950894
211,11000100,chr1:6853585-6856492,chr1:7598598-7600780,chr1:7102244-7103751
211,01100100,chr1:6853585-6856492,chr1:7706732-7708222,chr1:6949211-6950894
211,11000100,chr1:6853585-6856492,chr1:7706732-7708222,chr1:7102244-7103751
211,10100100,chr1:6853585-6856492,chr1:6949211-6950894,chr1:7102244-7103751
211,01101000,chr6:40994763-40996785,chr6:40861919-40863649,chr6:41033883-41035551
211,02001000,chr6:41006481-41008061,chr6:40994763-40996785,chr6:40861919-40863649
211,20000010,chr6:40295623-40297292,chr6:40861919-40863649,chr6:41033883-41035551
211,01101000,chr6:41006481-41008061,chr6:40861919-40863649,chr6:41033883-41035551
211,02000100,chr19:5686435-5687960,chr19:5577568-5579166,chr19:5547243-5548731
222,00000300,chr15:58362254-58363969,chr15:58152505-58154142,chr15:58024175-58025667
222,00000300,chr15:57958861-57960475,chr15:58152505-58154142,chr15:58024175-58025667
211,02000100,chr15:58362254-58363969,chr15:58157032-58159348,chr15:58024175-58025667
211,02000100,chr15:58362254-58363969,chr15:57958861-57960475,chr15:58024175-58025667
